Target Name	Accession	Description	Occurrences
fosA5_fam	NF040540.1	NCBIFAM: FosA5 family fosfomycin resistance glutathione transferase	5
Fos_BSH	NF000493.1	NCBIFAM: FosB/FosD family fosfomycin resistance bacillithiol transferase	10
PRK06188.1	NF004838.1	NCBI Protein Cluster (PRK): fatty-acid--CoA ligase FadD8	29
pimA	TIGR03205.1	JCVI: dicarboxylate--CoA ligase PimA	35
PRK05857.1	NF004515.0	NCBI Protein Cluster (PRK): fatty acid--CoA ligase FadD10	31
FACL_FadD6	NF038342.1	NCBIFAM: long-chain-acyl-CoA synthetase FadD6	35
FadD32_Coryne	NF040633.1	NCBIFAM: FadD32-like long-chain-fatty-acid--AMP ligase	42
PRK07445.1-5	NF005663.0	NCBI Protein Cluster (PRK): O-succinylbenzoic acid--CoA ligase	10
PRK03584.1	NF002937.0	NCBI Protein Cluster (PRK): acetoacetate--CoA ligase	31
ac_ac_CoA_syn	TIGR01217.1	JCVI: acetoacetate--CoA ligase	23
PRK07868.1	NF005898.0	NCBI Protein Cluster (PRK): acyl-CoA synthetase	10
M3_fam_3	TIGR02290.1	JCVI: M3 family oligoendopeptidase	4
M3_not_pepF	TIGR02289.1	JCVI: M3 family oligoendopeptidase	5
PRK13556.1	NF010075.0	NCBI Protein Cluster (PRK): FMN-dependent NADH-azoreductase	4
PRK13555.1	NF010074.0	NCBI Protein Cluster (PRK): FMN-dependent NADH-azoreductase	2
PRK01355.1	NF002370.0	NCBI Protein Cluster (PRK): FMN-dependent NADH-azoreductase	3
PRK09739.1	NF007280.0	NCBI Protein Cluster (PRK): NAD(P)H oxidoreductase	9
FMN_reduc_MsuE	TIGR03566.1	JCVI: FMN reductase	4
one_C_dehyd_C	TIGR03122.1	JCVI: formylmethanofuran dehydrogenase subunit C	2
FMH_DH_FwdC	NF042910.1	NCBIFAM: tungsten-dependent formylmethanofuran dehydrogenase subunit FwdC	1
formald_GSH	TIGR02820.1	JCVI: S-(hydroxymethyl)glutathione synthase	4
PRK05417.1	NF003829.0	NCBI Protein Cluster (PRK): glutathione-dependent formaldehyde-activating enzyme	4
STY4534_fam	NF040584.1	NCBIFAM: STY4534 family ICE replication protein	2
PRK09424.1	NF006942.0	NCBI Protein Cluster (PRK): Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	7
pntA	TIGR00561.1	JCVI: Re/Si-specific NAD(P)(+) transhydrogenase subunit alpha	6
Dbac_1936_reg	NF045707.1	NCBIFAM: ArsR/SmtB-type metalloregulator TsoR	19
PRK10141.1	NF007528.0	NCBI Protein Cluster (PRK): metalloregulator ArsR/SmtB family transcription factor	18
sulf_sens_BigR	NF040642.1	NCBIFAM: sulfite-sensing transcriptional repressor BigR	21
PRK10703.1	NF007979.0	NCBI Protein Cluster (PRK): HTH-type transcriptional repressor PurR	18
PRK10423.1	NF007743.0	NCBI Protein Cluster (PRK): ribose operon transcriptional repressor RbsR	18
PRK11041.1	NF008269.0	NCBI Protein Cluster (PRK): DNA-binding transcriptional regulator CytR	19
lactose_RbsR	NF047341.1	NCBIFAM: ribose utilization transcriptional repressor RbsR	18
fruct_sucro_rep	TIGR02417.1	JCVI: D-fructose-responsive transcription factor	18
PRK11303.1	NF008452.0	NCBI Protein Cluster (PRK): catabolite repressor/activator	17
PRK09526.1	NF007075.0	NCBI Protein Cluster (PRK): LacI family DNA-binding transcriptional regulator	21
ccpA	TIGR01481.1	JCVI: catabolite control protein A	18
PRK10014.1	NF007449.0	NCBI Protein Cluster (PRK): Mal regulon transcriptional regulator MalI	17
PRK10401.1	NF007706.0	NCBI Protein Cluster (PRK): HTH-type transcriptional regulator GalS	18
PRK10727.1	NF008002.0	NCBI Protein Cluster (PRK): HTH-type transcriptional regulator GalR	19
PRK14987.1	NF011563.0	NCBI Protein Cluster (PRK): gluconate operon transcriptional repressor GntR	19
trehalos_R_Ecol	TIGR02405.1	JCVI: trehalose operon repressor TreR	17
PRK10936.1	NF008185.0	NCBI Protein Cluster (PRK): TMAO reductase system periplasmic protein TorT	2
PRK10653.1	NF007936.0	NCBI Protein Cluster (PRK): ribose ABC transporter substrate-binding protein RbsB	13
PRK10339.1	NF007665.0	NCBI Protein Cluster (PRK): transcriptional regulator EbgR	19
TMAO_TorT	TIGR02955.1	JCVI: TMAO reductase system periplasmic protein TorT	2
YtfQ_transport	NF041827.1	NCBIFAM: galactofuranose ABC transporter, galactofuranose-binding protein YtfQ	6
TonB-copper	TIGR01778.1	JCVI: TonB-dependent copper receptor	8
Zn_piracy_ZnuD	NF038289.1	NCBIFAM: zinc piracy TonB-dependent receptor ZnuD	11
PRK09825.1	NF007336.0	NCBI Protein Cluster (PRK): gluconokinase	2
therm_gnt_kin	TIGR01313.1	JCVI: gluconokinase, GntK/IdnK-type	4
PRK11545.1	NF008583.0	NCBI Protein Cluster (PRK): gluconokinase	2
PRK13946.1	NF010552.0	NCBI Protein Cluster (PRK): shikimate kinase	4
PRK13947.1	NF010553.0	NCBI Protein Cluster (PRK): shikimate kinase	2
hom_kin_desulfo	NF040667.1	NCBIFAM: homoserine kinase, Desulfovibrio type	4
PRK12422.1	NF009087.0	NCBI Protein Cluster (PRK): chromosomal replication initiator protein DnaA	16
PRK08084.1	NF005982.0	NCBI Protein Cluster (PRK): DnaA inactivator Hda	11
PRK06620.1	NF005149.0	NCBI Protein Cluster (PRK): hypothetical protein	11
PRK06030.1-2	NF004687.0	NCBI Protein Cluster (PRK): hypothetical protein	11
PRK06030.1-1	NF004686.0	NCBI Protein Cluster (PRK): hypothetical protein	9
PRK09087.1	NF006571.0	NCBI Protein Cluster (PRK): DnaA regulatory inactivator HdaA	6
PRK06030.1-3	NF004688.0	NCBI Protein Cluster (PRK): hypothetical protein	10
PRK08903.1-5	NF006485.0	NCBI Protein Cluster (PRK): DnaA regulatory inactivator Hda	6
PRK06672.1	NF005206.0	NCBI Protein Cluster (PRK): hypothetical protein	3
holA	TIGR01128.2	JCVI: DNA polymerase III subunit delta	12
LGT_TIGR03299	TIGR03299.1	JCVI: phage/plasmid-like protein TIGR03299	14
PRK12378.1	NF009044.0	NCBI Protein Cluster (PRK): YebC/PmpR family DNA-binding transcriptional regulator	3
TIGR01033	TIGR01033.1	JCVI: YebC/PmpR family DNA-binding transcriptional regulator	2
cGAS	NF041078.1	NCBIFAM: CBASS cGAMP synthase	15
CBASS_cyclase_a	NF041116.1	NCBIFAM: CBASS oligonucleotide cyclase	14
HVO_2922	NF041908.1	NCBIFAM: HVO_2922 family protein	4
PRK12284.1	NF008923.0	NCBI Protein Cluster (PRK): tryptophan--tRNA ligase	6
histid_kinase_PdhS	NF041593.1	NCBIFAM: cell-division control histidine kinase PdhS	43
PRK10618.1	NF007907.0	NCBI Protein Cluster (PRK): phosphotransferase RcsD	32
hybrid_RR_LvrB	NF047466.1	NCBIFAM: hybrid histidine kinase/response regulator LvrB	80
PRK11073.1	NF008293.1	NCBI Protein Cluster (PRK): nitrogen regulation protein NR(II)	60
PRK11017.1	NF008241.0	NCBI Protein Cluster (PRK): cytosine permease	2
HK_LIC11548	NF047496.1	NCBIFAM: LIC_11548 family sensor histidine kinase	56
MobT	NF041493.1	NCBIFAM: MobT family relaxase	34
Glyco4_Geo_Pelo	NF038229.1	NCBIFAM: GPMC system family 4 glycosyltransferase	10
thiol_BshA	TIGR03999.1	JCVI: N-acetyl-alpha-D-glucosaminyl L-malate synthase BshA	12
XrtY_assoc_Gly1	NF046085.1	NCBIFAM: XrtY-associated glycosyltransferase XYAG1	10
stp3	TIGR04063.1	JCVI: TIGR04063 family PEP-CTERM/XrtA system glycosyltransferase	11
stp2	TIGR03088.1	JCVI: TIGR03088 family PEP-CTERM/XrtA system glycosyltransferase	12
EPS_EpsE	NF041876.1	NCBIFAM: exopolysaccharide biosynthesis GT4 family glycosyltransferase EpsE	12
glyco_rSAM_CFB	TIGR04157.1	JCVI: TIGR04157 glycosyltransferase	9
TeichurnBiosyTuaC	NF047684.1	NCBIFAM: teichuronic acid biosynthesis protein TuaC	9
EPS_HpsP	NF038295.1	NCBIFAM: hormogonium polysaccharide biosynthesis glycosyltransferase HpsP	9
sucr_P_syn_N	TIGR02472.1	JCVI: sucrose-phosphate synthase, putative, glycosyltransferase domain	7
mycothiol_MshA	TIGR03449.1	JCVI: D-inositol-3-phosphate glycosyltransferase	13
glgA_Coryne	TIGR02149.1	JCVI: glycogen synthase	12
PRK09922.1	NF007396.0	NCBI Protein Cluster (PRK): lipopolysaccharide 1,6-galactosyltransferase	7
DVU1553_fam_AMP	NF045666.1	NCBIFAM: DVU_1553 family AMP-dependent CoA ligase	9
PRK06064.1	NF004720.0	NCBI Protein Cluster (PRK): thiolase domain-containing protein	6
PRK06761.1	NF005250.0	NCBI Protein Cluster (PRK): hypothetical protein	1
phage_reg_YmfL	NF041471.1	NCBIFAM: YmfL family putative phage regulatory protein	4
outer_NodT	TIGR01845.1	JCVI: efflux transporter outer membrane subunit	19
efflux_OM_AdeK	NF033143.1	NCBIFAM: multidrug efflux RND transporter AdeIJK outer membrane channel subunit AdeK	8
PRK09837.1	NF007347.1	NCBI Protein Cluster (PRK): Cu(I)/Ag(I) efflux RND transporter outer membrane protein	10
efflux_OM_AdeC	NF033142.1	NCBIFAM: multidrug efflux RND transporter AdeABC outer membrane channel subunit AdeC	8
type_I_sec_TolC	TIGR01844.1	JCVI: TolC family outer membrane protein	17
PRK09915.1	NF007390.0	NCBI Protein Cluster (PRK): MdtP family multidrug efflux transporter outer membrane subunit	6
PRK11459.1	NF008524.1	NCBI Protein Cluster (PRK): multidrug resistance outer membrane protein MdtQ	6
ToxDrgExpTdeA	NF047721.1	NCBIFAM: toxin/drug exporter TdeA	9
PRK09465.1	NF007002.0	NCBI Protein Cluster (PRK): outer membrane channel protein TolC	18
DiMtlExpIhpA	NF045679.1	NCBIFAM: divalent metal ion exporter subunit IhpA	5
PRK12361.1	NF009025.0	NCBI Protein Cluster (PRK): hypothetical protein	11
PRK00216.1-2	NF001241.0	NCBI Protein Cluster (PRK): demethylmenaquinone methyltransferase	22
MenG_MenH_UbiE	TIGR01934.1	JCVI: ubiquinone/menaquinone biosynthesis methyltransferase	44
PRK00216.1-1	NF001240.0	NCBI Protein Cluster (PRK): bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	21
FAmtase_mtf2	NF045825.1	NCBIFAM: fatty-acid O-methyltransferase Mtf2	22
PRK00216.1-4	NF001243.0	NCBI Protein Cluster (PRK): demethylmenaquinone methyltransferase	24
PthPhpthDimycoMt	NF045823.1	NCBIFAM: phthiotriol/phenolphthiotriol dimycocerosates methyltransferase	24
PRK05785.1	NF004452.0	NCBI Protein Cluster (PRK): hypothetical protein	9
PRK00216.1-3	NF001242.0	NCBI Protein Cluster (PRK): bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1,4-benzoquinol methylase UbiE	18
PRK06259.1	NF004898.0	NCBI Protein Cluster (PRK): fumarate reductase (CoM/CoB) subunit TfrB	6
PRK11565.1	NF008598.0	NCBI Protein Cluster (PRK): 2,5-didehydrogluconate reductase DkgA	23
PRK11172.1	NF008377.0	NCBI Protein Cluster (PRK): 2,5-didehydrogluconate reductase DkgB	29
quin_L_LdhH	NF045670.1	NCBIFAM: L-lactate dehydrogenase (quinone) large subunit LdhH	4
dhsB	TIGR00384.1	JCVI: succinate dehydrogenase and fumarate reductase iron-sulfur protein	9
cdhA	TIGR00314.1	JCVI: CO dehydrogenase/acetyl-CoA synthase complex subunit alpha	8
PRK08640.1	NF006391.0	NCBI Protein Cluster (PRK): succinate dehydrogenase iron-sulfur subunit	2
CoB_CoM_SS_C	TIGR03290.1	JCVI: CoB--CoM heterodisulfide reductase subunit C	6
PRK05950.1	NF004616.0	NCBI Protein Cluster (PRK): succinate dehydrogenase iron-sulfur subunit	7
MFR_FeS_SdhB	NF042952.1	NCBIFAM: 8-methylmenaquinol:fumarate reductase iron-sulfur subunit	2
PRK11168.1	NF008369.0	NCBI Protein Cluster (PRK): anaerobic glycerol-3-phosphate dehydrogenase subunit C	6
fdxN_nitrog	TIGR02936.1	JCVI: ferredoxin III, nif-specific	18
PRK05888.2-3	NF004542.0	NCBI Protein Cluster (PRK): NADH-quinone oxidoreductase subunit NuoI	5
PRK12577.1	NF009227.0	NCBI Protein Cluster (PRK): succinate dehydrogenase/fumarate reductase iron-sulfur subunit	3
PRK08299.1	NF006156.0	NCBI Protein Cluster (PRK): NADP-dependent isocitrate dehydrogenase	4
nadp_idh_euk	TIGR00127.1	JCVI: isocitrate dehydrogenase (NADP(+))	2
PRK00187.1	NF001214.0	NCBI Protein Cluster (PRK): NorM family multidrug efflux MATE transporter	13
BchD-ChlD	TIGR02031.1	JCVI: magnesium chelatase ATPase subunit D	10
Cob-chelat-sub	TIGR02442.1	JCVI: putative cobaltochelatase	11
gas_vesic_GvpN	TIGR02640.1	JCVI: gas vesicle protein GvpN	11
MadB_ATPase	NF047784.1	NCBIFAM: MadB family AAA-type ATPase	15
PRK13531.1	NF010054.0	NCBI Protein Cluster (PRK): ATPase RavA	2
BchI-ChlI	TIGR02030.1	JCVI: magnesium chelatase ATPase subunit I	5
PRK13406.1	NF009943.0	NCBI Protein Cluster (PRK): magnesium chelatase subunit D	4
lon_rel	TIGR00764.1	JCVI: ATP-dependent protease LonB	21
PRK00440.1	NF001679.0	NCBI Protein Cluster (PRK): replication factor C small subunit	19
acr3	TIGR00832.1	JCVI: ACR3 family arsenite efflux transporter	2
PRK15018.1	NF011593.0	NCBI Protein Cluster (PRK): 1-acylglycerol-3-phosphate O-acyltransferase	4
PRK14994.1	NF011570.0	NCBI Protein Cluster (PRK): 16S rRNA (cytidine(1402)-2'-O)-methyltransferase	4
TIGR00096	TIGR00096.1	JCVI: 16S rRNA (cytidine(1402)-2'-O)-methyltransferase	4
cobJ_cbiH	TIGR01466.1	JCVI: precorrin-3B C(17)-methyltransferase	5
RelE_StbE	TIGR02385.1	JCVI: type II toxin-antitoxin system mRNA interferase toxin, RelE/StbE family	14
T7SS_mycosin	TIGR03921.1	JCVI: type VII secretion-associated serine protease mycosin	21
protease_PatA	TIGR03895.1	JCVI: PatA/PatG family cyanobactin maturation protease	8
denti_PrtP	NF033595.1	NCBIFAM: dentilisin complex serine proteinase subunit PrtP	7
SGO_0316_fam	NF040553.1	NCBIFAM: SGO_0316/SGO_0317 family LPXTG-anchored serine peptidase	11
PRK07003.1	NF005423.0	NCBI Protein Cluster (PRK): DNA polymerase III subunit gamma/tau	8
PRK10792.1	NF008058.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14191.1	NF010787.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14189.1	NF010786.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	5
PRK14188.1	NF010785.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	6
PRK14184.1	NF010781.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14183.1	NF010780.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14186.1	NF010783.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14179.1	NF010776.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	6
PRK14178.1	NF010775.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14180.1	NF010777.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14194.1	NF010790.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	6
PRK14176.1	NF010773.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14182.1	NF010779.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14187.1	NF010784.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14166.1	NF010763.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14169.1	NF010766.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14167.1	NF010764.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14174.1	NF010771.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14193.1	NF010789.1	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase	5
PRK14173.1	NF010770.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	5
PRK14168.1	NF010765.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14175.1	NF010772.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14185.1	NF010782.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14170.1	NF010767.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	6
PRK14192.1	NF010788.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	6
PRK14171.1	NF010768.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14172.1	NF010769.0	NCBI Protein Cluster (PRK): bifunctional 5,10-methylene-tetrahydrofolate dehydrogenase/ 5,10-methylene-tetrahydrofolate cyclohydrolase	6
PRK14177.1	NF010774.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK14181.1	NF010778.0	NCBI Protein Cluster (PRK): bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
FolD_Thplmales	NF041156.1	NCBIFAM: bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase FolD	5
PRK04201.1	NF003243.0	NCBI Protein Cluster (PRK): zinc transporter ZupT	1
PRK14712.1	NF011300.0	NCBI Protein Cluster (PRK): conjugative transfer relaxase/helicase TraI	21
PLuB_AAA	NF040671.1	NCBIFAM: PLuB system helicase-like protein	58
urea_ABC_arch	TIGR03669.1	JCVI: urea ABC transporter substrate-binding protein	5
PRK15404.1	NF011933.0	NCBI Protein Cluster (PRK): high-affinity branched-chain amino acid ABC transporter substrate-binding protein	12
urea_ABC_UrtA	TIGR03407.1	JCVI: urea ABC transporter substrate-binding protein	9
ProtAdnltaseVbhT	NF045983.1	NCBIFAM: type II toxin-antitoxin system protein adenylyltransferase VbhT	5
PRK10347.1	NF007672.0	NCBI Protein Cluster (PRK): putative adenosine monophosphate-protein transferase Fic	4
PRK13863.1	NF010437.0	NCBI Protein Cluster (PRK): T-DNA border endonuclease VirD2	4
PQQ_ABC_bind	TIGR03863.1	JCVI: ABC transporter, substrate binding protein, PQQ-dependent alcohol dehydrogenase system	2
rsmG_gidB	TIGR00138.1	JCVI: 16S rRNA (guanine(527)-N(7))-methyltransferase RsmG	2
PRK08287.1	NF006138.0	NCBI Protein Cluster (PRK): decarboxylating cobalt-precorrin-6B (C(15))-methyltransferase	9
PRK09395.1	NF006903.2	NCBI Protein Cluster (PRK): cation/acetate symporter ActP	7
PRK12488.1	NF009135.0	NCBI Protein Cluster (PRK): cation/acetate symporter	7
symport_actP	TIGR02711.1	JCVI: cation/acetate symporter ActP	7
Na_symport_lg	TIGR03648.1	JCVI: VC_2705 family sodium/solute symporter	20
sss	TIGR00813.1	JCVI: sodium/solute symporter	12
Na_Pro_sym	TIGR02121.1	JCVI: sodium/proline symporter PutP	12
panF	TIGR02119.1	JCVI: sodium/pantothenate symporter	12
PRK10484.1	NF007790.0	NCBI Protein Cluster (PRK): solute:sodium symporter family transporter	10
PrmC_rel_meth	TIGR03704.1	JCVI: putative protein N(5)-glutamine methyltransferase	37
PRK11929.1	NF008896.0	NCBI Protein Cluster (PRK): bifunctional UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase MurE/UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase MurF	2
PRK00139.1-1	NF001123.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	2
murE	TIGR01085.1	JCVI: UDP-N-acetylmuramyl-tripeptide synthetase	2
PRK00139.1-2	NF001124.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	2
PRK00139.1-4	NF001126.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	2
PRK14022.1	NF010628.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--L-lysine ligase	2
PRK00139.2-4	NF001130.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	3
PRK00139.2-1	NF001127.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	3
PRK00139.2-3	NF001129.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	2
PRK00139.2-5	NF001131.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	3
murF	TIGR01143.1	JCVI: UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	3
murC	TIGR01082.1	JCVI: UDP-N-acetylmuramate--L-alanine ligase	3
murD	TIGR01087.1	JCVI: UDP-N-acetylmuramoyl-L-alanine--D-glutamate ligase	3
PRK10773.1	NF008041.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	3
PRK14016.1	NF010623.0	NCBI Protein Cluster (PRK): cyanophycin synthetase	14
PRK14093.1	NF010693.0	NCBI Protein Cluster (PRK): UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase	3
cya_phycin_syn	TIGR02068.1	JCVI: cyanophycin synthetase	14
PRK11930.1	NF008897.0	NCBI Protein Cluster (PRK): bifunctional UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase/alanine racemase	5
folC	TIGR01499.1	JCVI: bifunctional protein FolC	4
PRK14573.1	NF011171.0	NCBI Protein Cluster (PRK): bifunctional UDP-N-acetylmuramate--L-alanine ligase/D-alanine--D-alanine ligase	4
