Most Frequent Protein ID	Frequency	Description
WP_002659148.1	1	DUF4291 domain-containing protein
WP_376761640.1	1	KamA family radical SAM protein
WP_386962213.1	1	HXXEE domain-containing protein
WP_386962216.1	1	HYR domain-containing protein
Unknown	1	cysteine dioxygenase
WP_348973682.1	1	RNA 3'-terminal phosphate cyclase
WP_348973685.1	1	RNA-binding protein
WP_348973686.1	1	RNA repair transcriptional activator RtcR
WP_316805368.1	1	NAD(P)H-binding protein
WP_316805372.1	1	P63C domain-containing protein
WP_213158309.1	1	Npt1/Npt2 family nucleotide transporter
WP_245759676.1	1	DUF1489 family protein
WP_308224993.1	1	collagen-binding domain-containing protein
Unknown	1	leucyl/phenylalanyl-tRNA--protein transferase
WP_224663360.1	1	Rid family hydrolase
WP_109585279.1	1	thiosulfohydrolase SoxB
WP_109585281.1	1	sulfur oxidation c-type cytochrome SoxX
WP_206573199.1	1	CoA pyrophosphatase
WP_206573205.1	1	FKBP-type peptidyl-prolyl cis-trans isomerase
WP_206573208.1	1	glutamine cyclotransferase
WP_169789931.1	1	peptidase inhibitor family I36 protein
WP_255567958.1	1	extensin family protein
WP_352671166.1	1	plasmid partitioning protein RepB
WP_226929499.1	1	DUF6444 domain-containing protein
WP_152245490.1	1	DUF5076 domain-containing protein
WP_152245494.1	1	STY0301 family protein
Unknown	1	zinc metalloprotease HtpX
WP_268883089.1	1	TraB/GumN family protein
WP_303609601.1	1	carbohydrate-binding protein
WP_160687933.1	1	TMEM175 family protein
WP_160687935.1	1	DUF1624 domain-containing protein
WP_311185613.1	1	DUF5447 family protein
WP_281227584.1	1	DUF177 domain-containing protein
WP_111224007.1	1	permease-like cell division protein FtsX
WP_111023996.1	1	cell division ATP-binding protein FtsE
WP_005158198.1	1	porphobilinogen synthase
Unknown	1	glutamate synthase-related protein
WP_257108690.1	1	OpgC domain-containing protein
WP_238316799.1	1	MT-A70 family methyltransferase
WP_038018437.1	1	putative T6SS immunity periplasmic lipoprotein
WP_038018439.1	1	DcrB-related protein
WP_038018442.1	1	GlcNAc-transferase family protein
WP_107802945.1	1	KfrB domain-containing protein
WP_396601247.1	1	thiol-disulfide oxidoreductase DCC family protein
WP_396601249.1	1	mucoidy inhibitor MuiA family protein
WP_396601253.1	1	sulfurtransferase
WP_241763453.1	1	tetratricopeptide repeat-containing diguanylate cyclase
WP_074536290.1	1	argininosuccinate synthase
WP_010522863.1	1	conjugative transposon protein TraJ
WP_226385868.1	1	phosphoribosylglycinamide formyltransferase
Unknown	1	IS4/IS5 family transposase
WP_003842172.1	1	PTS sugar transporter subunit IIA
WP_047498701.1	1	transcription antiterminator
WP_047498718.1	1	intestinal colonization autotransporter adhesin MisL
WP_253679531.1	1	MATE family Na+-driven efflux transporter
WP_296385408.1	1	M43 family zinc metalloprotease
WP_186724006.1	1	magnesium-translocating P-type ATPase
WP_421560474.1	1	DUF1206 domain-containing protein
WP_048377216.1	1	site-specific recombinase
WP_310586401.1	1	HDOD domain-containing protein
WP_089122624.1	1	DUF3413 domain-containing protein
WP_259148248.1	1	DUF2026 domain-containing protein
WP_197151650.1	1	DUF3136 domain-containing protein
WP_197151652.1	1	DUF4912 domain-containing protein
WP_126369143.1	1	DUF4148 domain-containing protein
WP_216957340.1	1	DUF924 family protein
WP_216957341.1	1	O-acetyl-ADP-ribose deacetylase
WP_235199471.1	1	alginate export family protein
WP_037531180.1	1	tryptophan halogenase family protein
WP_406082852.1	1	DUF2199 domain-containing protein
WP_329217014.1	1	HK97 gp10 family phage protein
WP_329217023.1	1	methyltransferase%2C FxLD system
WP_329217024.1	1	lantibiotic dehydratase
WP_164978410.1	1	DUF4767 domain-containing protein
WP_247906192.1	1	Sau3AI family type II restriction endonuclease
WP_247906194.1	1	abortive phage resistance protein AbiGI
WP_095155981.1	1	azurin
Unknown	1	NAD(+) synthase
WP_066008052.1	1	ligase-associated DNA damage response exonuclease
WP_317045964.1	1	DUF6804 family protein
WP_108411557.1	1	recombinase
WP_076394405.1	1	monofunctional biosynthetic peptidoglycan transglycosylase
WP_098347718.1	1	Rap family tetratricopeptide repeat protein
WP_098347722.1	1	HepT-like ribonuclease domain-containing protein
WP_101064509.1	1	FAD-dependent 2-octaprenylphenol hydroxylase
WP_299231666.1	1	DUF4121 family protein
WP_134183258.1	1	fumarate/nitrate reduction transcriptional regulator Fnr
WP_064518643.1	1	p-aminobenzoyl-glutamate transporter
WP_261467302.1	1	toxin
WP_230627554.1	1	DUF86 domain-containing protein
WP_048109161.1	1	coenzyme F420 hydrogenase subunit beta
WP_048109162.1	1	coenzyme F420 hydrogenase subunit gamma
WP_196296969.1	1	coenzyme F420-reducing hydrogenase%2C FrhD protein
WP_048109164.1	1	coenzyme F420 hydrogenase subunit alpha
WP_070270661.1	1	type II secretion system protein GspD
WP_071658934.1	1	zonular occludens toxin domain-containing protein
WP_001053381.1	1	IS21-like element ISEc57 family helper ATPase IstB
WP_228154835.1	1	group II intron reverse transcriptase
WP_193748877.1	1	bacteriophage spanin2 family protein
WP_263236825.1	1	type I-F CRISPR-associated endonuclease Cas1f
WP_025217676.1	1	YcjF family protein
Unknown	1	competence type IV pilus ATPase ComGA
WP_265051467.1	1	HdeA family protein
WP_338791273.1	1	YqgE/AlgH family protein
WP_338794213.1	1	GH3 auxin-responsive promoter family protein
WP_001295836.1	1	multifunctional acyl-CoA thioesterase I/protease I/lysophospholipase L1
WP_001110573.1	1	putative ABC transporter ATP-binding protein YbbA
WP_097479582.1	1	putative ABC transporter permease subunit YbbP
WP_327464043.1	1	D-glycerate dehydrogenase
WP_015572442.1	1	DUF2238 domain-containing protein
WP_274691081.1	1	non-ribosomal peptide synthase/polyketide synthase
WP_274691082.1	1	condensation domain-containing protein
WP_404687517.1	1	amino acid-binding protein
WP_006008898.1	1	translation initiation factor IF-1
Unknown	1	DUF2182 domain-containing protein
WP_368423800.1	1	amino acid deaminase
WP_368423801.1	1	polyamine aminopropyltransferase
WP_368423802.1	1	adenosylmethionine decarboxylase
WP_368423804.1	1	sarcosine oxidase subunit beta family protein
WP_368423805.1	1	sarcosine oxidase subunit delta
WP_368423806.1	1	sarcosine oxidase subunit alpha family protein
WP_368423807.1	1	sarcosine oxidase subunit gamma
WP_246182776.1	1	cation-translocating P-type ATPase
WP_262273413.1	1	integration host factor subunit beta
WP_363704808.1	1	C4-type zinc ribbon domain-containing protein
WP_165357006.1	1	histone-like nucleoid-structuring protein Lsr2
WP_332361225.1	1	Rpn family recombination-promoting nuclease/putative transposase
WP_324409474.1	1	DUF2380 domain-containing protein
WP_065892700.1	1	MbtH family protein
WP_122461770.1	1	siderophore-iron reductase FhuF
WP_122483145.1	1	cyclic peptide export ABC transporter
WP_210608069.1	1	DUF5412 family protein
WP_227836702.1	1	MltR family transcriptional regulator
Unknown	1	phosphoribosylglycinamide synthetase C domain-containing protein
WP_097616211.1	1	metal-dependent phosphohydrolase
WP_304875760.1	1	TraK family protein
WP_346801704.1	1	DUF3565 domain-containing protein
WP_004909965.1	1	DUF2147 domain-containing protein
WP_194788269.1	1	copper-containing nitrite reductase
WP_194788276.1	1	SMR family transporter
Unknown	1	dipeptide epimerase
WP_269719604.1	1	M20 metallopeptidase family protein
WP_048917111.1	1	RcnB family protein
WP_048917110.1	1	lytic murein transglycosylase B
WP_048917108.1	1	nicotinamide-nucleotide amidase
WP_048917107.1	1	recombinase RecA
WP_152229026.1	1	2-hydroxyacyl-CoA dehydratase family protein
WP_311944422.1	1	AcvB/VirJ family lysyl-phosphatidylglycerol hydrolase
WP_311944423.1	1	bifunctional lysylphosphatidylglycerol flippase/synthetase MprF
WP_294210077.1	1	DUF5683 domain-containing protein
WP_332109495.1	1	methyltransferase domain containing protein
WP_352684522.1	1	LacI family transcriptional regulator
WP_378014647.1	1	Com family DNA-binding transcriptional regulator
WP_169232130.1	1	DUF4468 domain-containing protein
WP_005381684.1	1	Na+/H+ antiporter NhaC family protein
WP_206970865.1	1	chitinase
Unknown	1	sodium:proton exchanger
WP_058628841.1	1	pyridoxine/pyridoxamine 5'-phosphate oxidase
WP_226402465.1	1	nitrate reductase cytochrome c-type subunit
WP_226402467.1	1	quinol dehydrogenase ferredoxin subunit NapH
WP_226402469.1	1	ferredoxin-type protein NapG
WP_356062116.1	1	polymorphic toxin-type HINT domain-containing protein
WP_000572405.1	1	aminoglycoside O-phosphotransferase APH(3')-IIa
WP_162281043.1	1	BtrH N-terminal domain-containing protein
WP_162281046.1	1	aminoacyl--tRNA ligase-related protein
WP_099720043.1	1	lipopolysaccharide core heptose(II) kinase RfaY
WP_302633829.1	1	carboxylesterase/lipase family protein
WP_304719035.1	1	DUF1508 domain-containing protein
WP_269057484.1	1	OST-HTH/LOTUS domain-containing protein
WP_124590281.1	1	DNA polymerase III subunit delta
WP_200899191.1	1	B12-binding domain-containing radical SAM protein
WP_329630371.1	1	DUF6582 domain-containing protein
WP_120646013.1	1	acetyl-CoA C-acetyltransferase
WP_333803339.1	1	di-trans%2Cpoly-cis-decaprenylcistransferase
WP_333803341.1	1	hydroxylamine reductase
WP_333803343.1	1	tetratricopeptide repeat-containing protein
WP_333803348.1	1	YcaO-like family protein
WP_143487493.1	1	iron-sulfur-binding ferredoxin reductase
WP_143487500.1	1	tol-pal system YbgF family protein
WP_146579638.1	1	membrane or secreted protein
WP_390620632.1	1	DUF6980 family protein
WP_396436016.1	1	GDYXXLXY domain-containing protein
WP_396436017.1	1	DUF2157 domain-containing protein
WP_396436018.1	1	DUF2345 domain-containing protein
WP_060382049.1	1	alpha-ketoacid dehydrogenase subunit alpha/beta
Unknown	1	bacteriophage antitermination protein Q
WP_019823189.1	1	recombination mediator RecR
WP_082243010.1	1	Fe-S-cluster oxidoreductase
WP_165026927.1	1	PEP/pyruvate-binding domain-containing protein
WP_335922281.1	1	motility associated factor glycosyltransferase family protein
WP_028779114.1	1	flagellar assembly protein FlgT
WP_223828927.1	1	FlgO family outer membrane protein
WP_051472584.1	1	LPP20 family lipoprotein
WP_115388947.1	1	phosphate ABC transporter ATP-binding protein
WP_234556807.1	1	PstA family ABC transporter permease
WP_050877556.1	1	YnfC family lipoprotein
WP_046694918.1	1	DUF1120 domain-containing protein
WP_375765013.1	1	TIGR02265 family protein
WP_375765014.1	1	nitrogen regulation protein NR(II)
WP_375765017.1	1	WGR and DUF4132 domain-containing protein
WP_353159917.1	1	phosphohistidine phosphatase SixA
WP_267680240.1	1	trypsin-like serine protease
Unknown	1	UPF0104 family protein
WP_194207682.1	1	4'-phosphopantetheinyl transferase superfamily protein
WP_194207684.1	1	adenine permease AdeP
WP_107941263.1	1	L-threonine 3-dehydrogenase
WP_195787616.1	1	nickel/cobalt transporter
WP_259386494.1	1	amidase activator ActS
WP_271996973.1	1	DUF3991 and TOPRIM domain-containing protein
WP_271996917.1	1	DNA phosphorothioation-dependent restriction protein DptF
WP_315112547.1	1	ribonuclease HIII
WP_315112548.1	1	ribonuclease H family protein
WP_315112550.1	1	DUF1232 domain-containing protein
WP_315112555.1	1	rhomboid family intramembrane serine protease
WP_001389365.1	1	IS6-like element IS6100 family transposase
WP_070225668.1	1	DUF6404 family protein
WP_290868712.1	1	L(+)-tartrate dehydratase subunit alpha
WP_290868737.1	1	Imm52 family immunity protein
WP_091753289.1	1	DUF2059 domain-containing protein
WP_080562462.1	1	hemagglutinin repeat-containing protein
WP_097675364.1	1	CHASE3 domain-containing protein
WP_087672991.1	1	HIT domain-containing protein
WP_321515407.1	1	DUF6557 family protein
WP_345973717.1	1	CDP-diacylglycerol diphosphatase
WP_345973719.1	1	nitroreductase family deazaflavin-dependent oxidoreductase
WP_180996730.1	1	asparagine synthetase B family protein
WP_404491474.1	1	IS1595-like element ISAcra1 family transposase
WP_026347701.1	1	short-chain fatty acid transporter
WP_100197579.1	1	MmgE/PrpD family protein
WP_392776597.1	1	DUF2272 domain-containing protein
WP_392776609.1	1	L-idonate 5-dehydrogenase
WP_050598679.1	1	E2 domain-associated cysteine-rich protein
WP_342110482.1	1	cob(I)yrinic acid a%2Cc-diamide adenosyltransferase
WP_342110483.1	1	bifunctional adenosylcobinamide kinase/adenosylcobinamide-phosphate guanylyltransferase
WP_269367539.1	1	ligase-associated DNA damage response DEXH box helicase
WP_011035783.1	1	IS5-like element IS1478 family transposase
WP_419717873.1	1	mobile mystery protein B
WP_410205187.1	1	phenylacetate--CoA ligase family protein
WP_415859352.1	1	transposase DNA-binding-containing protein
WP_359272521.1	1	DUF1152 domain-containing protein
WP_120710441.1	1	DUF2891 domain-containing protein
WP_120710445.1	1	electron transport complex protein RnfA
WP_120710446.1	1	RnfABCDGE type electron transport complex subunit E
WP_245967138.1	1	RnfABCDGE type electron transport complex subunit G
WP_120710447.1	1	RnfABCDGE type electron transport complex subunit D
WP_120710448.1	1	electron transport complex subunit RsxC
WP_317871806.1	1	RNA 2'-phosphotransferase
WP_032685473.1	1	IS630-like element ISPsy32 family transposase
WP_292510312.1	1	DUF2958 domain-containing protein
WP_255307360.1	1	30S ribosomal protein S2
WP_139650070.1	1	metallohydrolase
WP_020904084.1	1	triacylglycerol lipase
WP_315334428.1	1	DciA family protein
WP_024778923.1	1	TerD family protein
WP_043205947.1	1	DUF6515 family protein
WP_304291202.1	1	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
WP_368719539.1	1	phage capsid protein
WP_307674422.1	1	TIGR02677 family protein
WP_307674423.1	1	TIGR02678 family protein
WP_307674424.1	1	TIGR02680 family protein
WP_307674425.1	1	TIGR02679 family protein
WP_264429560.1	1	VPA1262 family protein
WP_158818131.1	1	DUF3891 family protein
WP_015376374.1	1	division control transcriptional repressor DicD
WP_021504953.1	1	divalent cation tolerance protein CutA
WP_004929658.1	1	anaerobic C4-dicarboxylate transporter
Unknown	1	sodium-independent anion transporter
WP_061290769.1	1	acetoin dehydrogenase dihydrolipoyllysine-residue acetyltransferase subunit
WP_398445727.1	1	aspartate-alanine antiporter
WP_398445730.1	1	bifunctional aspartate transaminase/aspartate 4-decarboxylase
WP_343316414.1	1	fumarylacetoacetase
WP_225031685.1	1	DUF3422 family protein
WP_224099570.1	1	DUF3422 domain-containing protein
WP_371082199.1	1	ADOP family duplicated permease
WP_011381528.1	1	glycerate kinase type-2 family protein
WP_095159419.1	1	NADPH-dependent oxidoreductase
WP_256003648.1	1	GTPase Era
WP_219488008.1	1	5'-nucleotidase%2C lipoprotein e(P4) family
WP_219488010.1	1	DUF3574 domain-containing protein
WP_219488016.1	1	mannonate dehydratase
WP_382235048.1	1	peptidoglycan D%2CD-transpeptidase FtsI family protein
WP_382235052.1	1	16S rRNA (cytosine(1402)-N(4))-methyltransferase RsmH
WP_382235054.1	1	division/cell wall cluster transcriptional repressor MraZ
WP_201713013.1	1	replicative helicase loader/inhibitor
Unknown	1	DUF6892 domain-containing protein
WP_066032172.1	1	histidine ammonia-lyase
WP_032495448.1	1	IS66-like element ISKpn15 family transposase
WP_094569099.1	1	outer membrane beta-barrel family protein
WP_200547975.1	1	myo-inosose-2 dehydratase
WP_200547979.1	1	stationary phase growth adaptation protein
WP_284126601.1	1	4-hydroxybenzoate 3-monooxygenase
WP_183568960.1	1	bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase
WP_183568962.1	1	bifunctional demethylmenaquinone methyltransferase/2-methoxy-6-polyprenyl-1%2C4-benzoquinol methylase UbiE
WP_183568964.1	1	2-polyprenylphenol 6-hydroxylase
WP_163951764.1	1	antA/AntB antirepressor family protein
WP_163951770.1	1	NUMOD4 domain-containing protein
WP_347183990.1	1	DUF1489 domain-containing protein
WP_296047945.1	1	PCI domain-containing protein
WP_308230632.1	1	biotin carboxylase
WP_186451062.1	1	DNA-3-methyladenine glycosylase 2 family protein
WP_066592306.1	1	NAD-glutamate dehydrogenase domain-containing protein
WP_250481223.1	1	bifunctional 3-(3-hydroxy-phenyl)propionate/3-hydroxycinnamic acid hydroxylase
WP_312530027.1	1	demethoxyubiquinone hydroxylase family protein
WP_087978686.1	1	DNA polymerase III
WP_229137366.1	1	ribonuclease YeeF family protein
WP_300104803.1	1	CDGSH iron-sulfur domain-containing protein
WP_300104807.1	1	deoxyhypusine synthase
WP_075832127.1	1	DUF2399 domain-containing protein
WP_308609510.1	1	endonuclease/exonuclease/phosphatase
WP_340776815.1	1	transglutaminaseTgpA domain-containing protein
WP_037055057.1	1	DNA polymerase III subunit chi
WP_027672094.1	1	leucyl aminopeptidase
WP_194310709.1	1	BT4734/BF3469 family protein
WP_024333920.1	1	bile acid:sodium symporter
WP_024333927.1	1	DUF2889 domain-containing protein
WP_006966061.1	1	rubrerythrin family protein
WP_024333928.1	1	Na/Pi cotransporter family protein
WP_006966059.1	1	bifunctional acetyl-CoA hydrolase/transferase family protein/GNAT family N-acetyltransferase
WP_010942012.1	1	nuclease PIN
WP_163308641.1	1	conjugal transfer protein MobA
WP_187979553.1	1	BPL-N domain-containing protein
WP_187979555.1	1	YbcC family protein
WP_187979556.1	1	NADH-quinone oxidoreductase subunit L
WP_151979609.1	1	glycine--tRNA ligase subunit beta
WP_081508252.1	1	DUF6446 family protein
WP_151979610.1	1	glycine--tRNA ligase subunit alpha
Unknown	1	peptidoglycan-binding protein
WP_199861309.1	1	NAD(P)H-dependent oxidoreductase subunit E
