Protein ID	Frequency	Description
WP_014795732.1	1	hypothetical protein
WP_014795733.1	1	YeiH family protein
WP_014795734.1	1	hypothetical protein
WP_014795735.1	1	YeiH family protein
WP_014795736.1	1	PAS domain-containing sensor histidine kinase
WP_205530091.1	1	phosphoribosyltransferase-like protein
WP_096789792.1	1	hypothetical protein
WP_244905771.1	1	recombinase family protein
WP_416011169.1	1	recombinase family protein
WP_416011173.1	1	hypothetical protein
WP_257190125.1	1	hypothetical protein
WP_257190126.1	1	hypothetical protein
WP_257190129.1	1	helix-turn-helix domain-containing protein
WP_257190130.1	1	hypothetical protein
WP_257190131.1	1	hypothetical protein
WP_257190132.1	1	hypothetical protein
WP_257190133.1	1	hypothetical protein
WP_257190134.1	1	hypothetical protein
WP_373567415.1	1	DUF3871 family protein
WP_257190135.1	1	ATP-binding protein
WP_257190136.1	1	DEAD/DEAH box helicase family protein
WP_047782248.1	1	YicC/YloC family endoribonuclease
WP_047782249.1	1	hypothetical protein
WP_047782250.1	1	hypothetical protein
WP_053007677.1	1	hypothetical protein
WP_047782251.1	1	hypothetical protein
WP_047782252.1	1	MarR family transcriptional regulator
WP_047782253.1	1	retron St85 family RNA-directed DNA polymerase
WP_047782254.1	1	type II toxin-antitoxin system Phd/YefM family antitoxin
WP_047782255.1	1	type II toxin-antitoxin system death-on-curing family toxin
WP_047782256.1	1	ferredoxin--NADP(+) reductase
WP_408279594.1	1	OmpA family protein
WP_408279595.1	1	hypothetical protein
WP_408279596.1	1	hypothetical protein
WP_408279597.1	1	hypothetical protein
WP_408279598.1	1	AAA domain-containing protein
WP_408279599.1	1	hypothetical protein
WP_408279600.1	1	hypothetical protein
WP_408279601.1	1	hypothetical protein
WP_408279602.1	1	DNA methyltransferase
WP_346860807.1	1	zincin-like metallopeptidase domain-containing protein
WP_346859066.1	1	IS21-like element helper ATPase IstB
WP_394699890.1	1	IS21 family transposase
WP_346860808.1	1	ArdC family protein
WP_346860809.1	1	HAD hydrolase family protein
WP_346860810.1	1	hypothetical protein
WP_346860811.1	1	hypothetical protein
WP_346860812.1	1	hypothetical protein
WP_346860813.1	1	PfkB family carbohydrate kinase
WP_346860814.1	1	relaxase/mobilization nuclease domain-containing protein
WP_346860815.1	1	plasmid mobilization relaxosome protein MobC
WP_135264497.1	1	ribonuclease E activity regulator RraA
WP_167772636.1	1	LysR family transcriptional regulator
WP_167772637.1	1	SMP-30/gluconolactonase/LRE family protein
WP_135264500.1	1	aconitase family protein
WP_135264501.1	1	Bug family tripartite tricarboxylate transporter substrate binding protein
WP_135264502.1	1	hypothetical protein
WP_135264503.1	1	reverse transcriptase family protein
WP_135264504.1	1	DUF2357 domain-containing protein
WP_135264505.1	1	McrB family protein
WP_205960420.1	1	hypothetical protein
WP_135264507.1	1	helix-turn-helix transcriptional regulator
WP_315359558.1	1	PfkB family carbohydrate kinase
WP_315359560.1	1	nucleotidyl transferase AbiEii/AbiGii toxin family protein
WP_315359562.1	1	type IV toxin-antitoxin system AbiEi family antitoxin
WP_315359565.1	1	hypothetical protein
WP_315359567.1	1	hypothetical protein
WP_315359569.1	1	hypothetical protein
WP_315359571.1	1	HAD hydrolase family protein
WP_315359573.1	1	hypothetical protein
WP_315359575.1	1	helix-turn-helix domain-containing protein
WP_315359577.1	1	IS630 family transposase
WP_315359579.1	1	sigma factor
WP_081026101.1	1	ATP-binding protein
WP_055326659.1	1	DUF4194 domain-containing protein
WP_055326660.1	1	DUF3375 domain-containing protein
WP_055326661.1	1	helix-turn-helix transcriptional regulator
WP_081026102.1	1	reverse transcriptase family protein
WP_155518334.1	1	hypothetical protein
WP_081026103.1	1	PAS domain-containing methyl-accepting chemotaxis protein
WP_055326663.1	1	adenylate dimethylallyltransferase Tzs
WP_014619045.1	1	hypothetical protein
WP_055327086.1	1	LLM class flavin-dependent oxidoreductase
WP_055326664.1	1	hypothetical protein
WP_249985409.1	1	hypothetical protein
WP_249985410.1	1	reverse transcriptase family protein
WP_216955061.1	1	bifunctional aspartate kinase/homoserine dehydrogenase I
WP_106842512.1	1	homoserine kinase
WP_323891012.1	1	threonine synthase
WP_323891014.1	1	hypothetical protein
WP_323891016.1	1	hypothetical protein
WP_323891017.1	1	hypothetical protein
WP_323891019.1	1	N-6 DNA methylase
WP_323891020.1	1	hypothetical protein
WP_323891022.1	1	DUF1349 domain-containing protein
WP_323891024.1	1	30S ribosomal protein S12 methylthiotransferase RimO
WP_323891025.1	1	HD-GYP domain-containing protein
WP_006069463.1	1	serine hydroxymethyltransferase
WP_236111853.1	1	aminomethyl-transferring glycine dehydrogenase
WP_236111854.1	1	reverse transcriptase family protein
WP_236111855.1	1	hypothetical protein
WP_236111856.1	1	hypothetical protein
WP_236111857.1	1	type I restriction enzyme HsdR N-terminal domain-containing protein
WP_162597396.1	1	hypothetical protein
WP_411309271.1	1	glucose-1-phosphate thymidylyltransferase RfbA
WP_016264055.1	1	glucose-1-phosphate thymidylyltransferase RfbA
WP_003146507.1	1	dTDP-4-dehydrorhamnose reductase
WP_320520466.1	1	integrase domain-containing protein
WP_241342593.1	1	hypothetical protein
WP_226982022.1	1	hypothetical protein
WP_245337026.1	1	glycoside hydrolase family 3 C-terminal domain-containing protein
WP_245336792.1	1	hypothetical protein
WP_209568777.1	1	hypothetical protein
WP_209568786.1	1	hypothetical protein
WP_209568787.1	1	reverse transcriptase family protein
WP_209568789.1	1	hypothetical protein
WP_209568791.1	1	DUF885 family protein
WP_209568793.1	1	hypothetical protein
WP_209568802.1	1	P-loop NTPase fold protein
WP_209568804.1	1	nuclease-related domain-containing DEAD/DEAH box helicase
WP_209568806.1	1	DUF3883 domain-containing protein
WP_392909752.1	1	penicillin-binding protein
WP_392909754.1	1	GatB/YqeY domain-containing protein
WP_392909757.1	1	metallophosphoesterase
WP_392909759.1	1	class I SAM-dependent methyltransferase
WP_392970717.1	1	reverse transcriptase family protein
WP_392970720.1	1	hypothetical protein
WP_392970723.1	1	hypothetical protein
WP_392970726.1	1	hypothetical protein
WP_392970728.1	1	hypothetical protein
WP_392970731.1	1	helix-turn-helix domain-containing protein
WP_392970734.1	1	hypothetical protein
WP_093294753.1	1	ATP-binding protein
WP_175455703.1	1	SpoIIE family protein phosphatase
WP_093294757.1	1	pyruvate dehydrogenase (acetyl-transferring)%2C homodimeric type
WP_139187883.1	1	hypothetical protein
WP_175455704.1	1	hypothetical protein
WP_139187887.1	1	hypothetical protein
WP_093294761.1	1	methyltransferase
WP_093294763.1	1	helix-turn-helix transcriptional regulator
WP_139187889.1	1	hypothetical protein
WP_093294765.1	1	DUF3817 domain-containing protein
WP_093294767.1	1	HPP family protein
WP_311971410.1	1	hypothetical protein
WP_311971411.1	1	hypothetical protein
WP_311971412.1	1	AAA family ATPase
WP_311971413.1	1	tyrosine-type recombinase/integrase
WP_311971414.1	1	hypothetical protein
WP_311971415.1	1	reverse transcriptase family protein
WP_311971416.1	1	toll/interleukin-1 receptor domain-containing protein
WP_311971417.1	1	DEAD/DEAH box helicase
WP_311971418.1	1	Hachiman antiphage defense system protein HamA
WP_311971419.1	1	hypothetical protein
WP_262152876.1	1	hypothetical protein
WP_077747671.1	1	hypothetical protein
WP_411960331.1	1	hypothetical protein
WP_411960332.1	1	hypothetical protein
WP_411960333.1	1	SHOCT domain-containing protein
WP_411960334.1	1	NADAR family protein
WP_411960335.1	1	hypothetical protein
WP_411961040.1	1	Kiwa anti-phage protein KwaB-like domain-containing protein
WP_411960336.1	1	hypothetical protein
WP_411960337.1	1	integrase domain-containing protein
WP_077432277.1	1	tyrosine-type recombinase/integrase
WP_170059461.1	1	hypothetical protein
WP_053819436.1	1	phosphoribosyltransferase-like protein
WP_000812688.1	1	phosphoribosyltransferase-like protein
WP_097631330.1	1	hypothetical protein
WP_143541339.1	1	hypothetical protein
WP_143541340.1	1	serine/threonine-protein kinase
WP_097631333.1	1	hypothetical protein
WP_179869544.1	1	PP2C family protein-serine/threonine phosphatase
WP_143541341.1	1	phosphoribosyltransferase-like protein
WP_097631336.1	1	reverse transcriptase family protein
WP_097631337.1	1	hypothetical protein
WP_179869545.1	1	RHE_PE00001 family protein
WP_179869539.1	1	hypothetical protein
WP_271290600.1	1	hypothetical protein
WP_271290601.1	1	relaxase/mobilization nuclease domain-containing protein
WP_377592131.1	1	Fic family protein
WP_377592132.1	1	hypothetical protein
WP_377592133.1	1	reverse transcriptase family protein
WP_377592134.1	1	hypothetical protein
WP_377592135.1	1	UvrD-helicase domain-containing protein
WP_377592136.1	1	ATP-dependent endonuclease
WP_377592137.1	1	ATP-dependent endonuclease
WP_298463959.1	1	hypothetical protein
WP_298463961.1	1	NUDIX domain-containing protein
WP_298463964.1	1	SPFH domain-containing protein
WP_298463967.1	1	hypothetical protein
WP_298463970.1	1	DUF4145 domain-containing protein
WP_298463973.1	1	hypothetical protein
WP_298463975.1	1	hypothetical protein
WP_298463978.1	1	hypothetical protein
WP_298463981.1	1	HAD family hydrolase
WP_298463985.1	1	PfkB family carbohydrate kinase
WP_298463988.1	1	NADAR family protein
WP_043245644.1	1	metal ABC transporter permease
WP_271103989.1	1	metal ABC transporter ATP-binding protein
WP_271103990.1	1	hypothetical protein
WP_271103991.1	1	reverse transcriptase family protein
WP_271103992.1	1	hypothetical protein
WP_271103993.1	1	hypothetical protein
WP_271103994.1	1	restriction endonuclease
WP_271103995.1	1	hypothetical protein
WP_271103996.1	1	hypothetical protein
WP_271103997.1	1	hypothetical protein
WP_173172517.1	1	hypothetical protein
WP_172435870.1	1	prolyl oligopeptidase family serine peptidase
WP_097441132.1	1	RagB/SusD family nutrient uptake outer membrane protein
WP_172435871.1	1	SusC/RagA family TonB-linked outer membrane protein
WP_097441134.1	1	helix-turn-helix domain-containing protein
WP_097441135.1	1	DNA cytosine methyltransferase
WP_097441136.1	1	hypothetical protein
WP_097441137.1	1	hypothetical protein
WP_097441138.1	1	hypothetical protein
WP_172435872.1	1	site-specific integrase
WP_141402407.1	1	GIY-YIG nuclease family protein
WP_097441141.1	1	GIY-YIG nuclease family protein
WP_265397375.1	1	transposase
WP_265410629.1	1	transposase
WP_265395740.1	1	transposase
WP_170002880.1	1	DUF2493 domain-containing protein
WP_090481503.1	1	hypothetical protein
WP_209197014.1	1	ArdC family protein
WP_209197020.1	1	phosphoribosyltransferase-like protein
WP_209197022.1	1	hypothetical protein
WP_209197026.1	1	PfkB family carbohydrate kinase
WP_209197028.1	1	ParB/RepB/Spo0J family partition protein
WP_209197029.1	1	strawberry notch family protein
WP_317239889.1	1	invasion associated locus B family protein
WP_317239890.1	1	DUF1428 domain-containing protein
WP_317239891.1	1	tyrosine-type recombinase/integrase
WP_317239892.1	1	NADAR family protein
WP_317239893.1	1	hypothetical protein
WP_317239894.1	1	hypothetical protein
WP_317239895.1	1	hypothetical protein
WP_317239896.1	1	hypothetical protein
WP_317239897.1	1	hypothetical protein
WP_317239898.1	1	hypothetical protein
WP_317239899.1	1	hypothetical protein
WP_343659622.1	1	hypothetical protein
WP_343659623.1	1	hypothetical protein
WP_343659624.1	1	hypothetical protein
WP_343659626.1	1	reverse transcriptase domain-containing protein
WP_343659628.1	1	DUF559 domain-containing protein
WP_343659630.1	1	hypothetical protein
WP_343659632.1	1	hypothetical protein
WP_343659634.1	1	retron St85 family RNA-directed DNA polymerase
WP_343659636.1	1	hypothetical protein
WP_343659638.1	1	hypothetical protein
WP_343659639.1	1	hypothetical protein
WP_005326326.1	1	potassium-transporting ATPase subunit C
WP_394293818.1	1	potassium-transporting ATPase subunit KdpB
WP_394293819.1	1	potassium-transporting ATPase subunit KdpA
WP_394293820.1	1	hypothetical protein
WP_394293821.1	1	reverse transcriptase family protein
WP_394293822.1	1	hypothetical protein
WP_394293823.1	1	hypothetical protein
WP_168236099.1	1	glutathione-disulfide reductase
WP_106885361.1	1	ATP-binding protein
WP_111911399.1	1	multidrug efflux RND transporter permease subunit
WP_106885359.1	1	efflux RND transporter periplasmic adaptor subunit
WP_142828900.1	1	hypothetical protein
WP_142828898.1	1	hypothetical protein
WP_142828896.1	1	site-specific DNA-methyltransferase
WP_142828894.1	1	DEAD/DEAH box helicase
WP_142828892.1	1	hypothetical protein
WP_142828890.1	1	phosphoribosyltransferase-like protein
WP_161990922.1	1	ThiF family adenylyltransferase
WP_161990921.1	1	hypothetical protein
WP_142828886.1	1	multiubiquitin domain-containing protein
WP_142828884.1	1	UvrD-helicase domain-containing protein
WP_142828882.1	1	hypothetical protein
WP_161992626.1	1	DUF3833 family protein
WP_150968517.1	1	GNAT family N-acetyltransferase
WP_150968519.1	1	50S ribosomal protein L27
WP_150968522.1	1	hypothetical protein
WP_150968524.1	1	phosphoribosyltransferase-like protein
WP_150968526.1	1	reverse transcriptase family protein
WP_150968528.1	1	recombinase family protein
WP_161992627.1	1	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase
WP_150968532.1	1	DUF805 domain-containing protein
WP_150968534.1	1	LexA family protein
WP_068353019.1	1	DNA topoisomerase IB
WP_068353022.1	1	glutathione-dependent disulfide-bond oxidoreductase
WP_068353025.1	1	ATP-dependent helicase
WP_068353028.1	1	ATP-dependent nuclease
WP_068353032.1	1	reverse transcriptase family protein
WP_197489832.1	1	hypothetical protein
WP_068353038.1	1	acyl-CoA thioesterase
WP_068353041.1	1	L-rhamnose catabolism isomerase
WP_068353045.1	1	bifunctional rhamnulose-1-phosphate aldolase/short-chain dehydrogenase
WP_068354580.1	1	FGGY-family carbohydrate kinase
WP_068353048.1	1	FMN-dependent L-lactate dehydrogenase LldD
WP_157082327.1	1	Ti-type conjugative transfer relaxase TraA
WP_066591787.1	1	DUF6118 family protein
WP_169803460.1	1	reverse transcriptase family protein
WP_066591793.1	1	hypothetical protein
WP_066591798.1	1	DUF5131 family protein
WP_066591800.1	1	three-Cys-motif partner protein TcmP
WP_084251275.1	1	TIR domain-containing protein
WP_066591802.1	1	adenylate/guanylate cyclase domain-containing protein
WP_157082328.1	1	pentapeptide repeat-containing protein
WP_092990079.1	1	sugar ABC transporter permease
WP_092990080.1	1	extracellular solute-binding protein
WP_092990081.1	1	RHE_PE00001 family protein
WP_092990082.1	1	hypothetical protein
WP_092990083.1	1	reverse transcriptase family protein
WP_139274808.1	1	hypothetical protein
WP_092990086.1	1	UvrD-helicase domain-containing protein
WP_092990087.1	1	AAA family ATPase
WP_092990088.1	1	SLATT domain-containing protein
WP_092990089.1	1	nucleotidyltransferase
WP_092990090.1	1	XRE family transcriptional regulator
WP_282196790.1	1	DUF5686 family protein
WP_009598131.1	1	HAD family hydrolase
WP_009598150.1	1	DMT family protein
WP_282196791.1	1	retron St85 family RNA-directed DNA polymerase
WP_282196792.1	1	hypothetical protein
WP_282196793.1	1	hypothetical protein
WP_282196794.1	1	nucleotidyltransferase domain-containing protein
WP_282196795.1	1	MobV family relaxase
WP_282196796.1	1	toprim domain-containing protein
WP_282196797.1	1	AAA family ATPase
WP_282196798.1	1	helix-turn-helix domain-containing protein
WP_343524130.1	1	ROK family protein
WP_343524131.1	1	hypothetical protein
WP_343524132.1	1	hypothetical protein
WP_343524133.1	1	nucleoside triphosphate pyrophosphohydrolase family protein
WP_343524134.1	1	DNA methyltransferase
WP_343524135.1	1	hypothetical protein
WP_343524136.1	1	hypothetical protein
WP_343524137.1	1	hypothetical protein
WP_343524138.1	1	abortive infection system antitoxin AbiGi family protein
WP_343524139.1	1	aldehyde reductase
WP_343524140.1	1	AraC family transcriptional regulator
WP_408170609.1	1	DNA-binding protein
WP_149073802.1	1	AbiH family protein
WP_368012912.1	1	hypothetical protein
WP_368012913.1	1	hypothetical protein
WP_368012914.1	1	DEAD/DEAH box helicase
WP_368012915.1	1	hypothetical protein
WP_368012916.1	1	hypothetical protein
WP_368012917.1	1	P-loop NTPase fold protein
WP_368012918.1	1	hypothetical protein
WP_368012919.1	1	hypothetical protein
WP_368012920.1	1	hypothetical protein
WP_368012921.1	1	GNAT family N-acetyltransferase
WP_312615996.1	1	glycoside hydrolase family 65 protein
WP_312615998.1	1	Gfo/Idh/MocA family oxidoreductase
