Most Frequent Protein ID	Frequency	Description
WP_036528288.1	1	DUF2958 domain-containing protein
WP_038642649.1	1	DUF5676 family membrane protein
WP_404389792.1	1	MBL fold metallo-hydrolase RNA specificity domain-containing protein
WP_404389804.1	1	thymidine phosphorylase family protein
WP_244535188.1	1	glycerol kinase
WP_095797735.1	1	NAD-dependent deacylase
WP_093915348.1	1	trimethylamine methyltransferase family protein
WP_093914524.1	1	heme NO-binding domain-containing protein
WP_248026920.1	1	DUF4197 domain-containing protein
WP_248026922.1	1	CDGSH iron-sulfur domain-containing protein
WP_248026928.1	1	TolB family protein
WP_248026929.1	1	choice-of-anchor L domain-containing protein
WP_353411301.1	1	HdeA/HdeB family chaperone
WP_353411305.1	1	fatty acid cis/trans isomerase
WP_353411315.1	1	AraC family transcriptional regulator ligand-binding domain-containing protein
WP_353411317.1	1	periplasmic nitrate reductase%2C NapE protein
WP_353411319.1	1	ferredoxin-type protein NapF
WP_353411606.1	1	chaperone NapD
WP_143317051.1	1	iron-sulfur cluster repair di-iron protein
WP_229947892.1	1	ArsO family NAD(P)H-dependent flavin-containing monooxygenase
WP_173502974.1	1	riboflavin synthase
WP_048220835.1	1	YfgG family protein
WP_400977456.1	1	chitinase
WP_093495906.1	1	sugar ABC transporter ATP-binding protein
WP_028615242.1	1	DUF799 domain-containing protein
Unknown	1	DUF987 family protein
WP_024222722.1	1	ESPR domain-containing protein
WP_001016257.1	1	IS21-like element ISEc12 family helper ATPase IstB
WP_072661581.1	1	AIDA repeat-containing protein
Unknown	1	terminase gpA endonuclease subunit
WP_305462441.1	1	lysis system i-spanin subunit Rz
WP_057959802.1	1	transporter substrate-binding protein
WP_038980457.1	1	osmoprotectant ABC transporter substrate-binding protein OsmX
WP_045133246.1	1	AfaD family invasin
Unknown	1	type-F conjugative transfer system secretin TraK
WP_000399792.1	1	type IV conjugative transfer system protein TraE
WP_001312822.1	1	antimicrobial resistance protein Mig-14
WP_001389365.1	1	IS6-like element IS6100 family transposase
WP_337961455.1	1	macrolide resistance MFS transporter Mrx(A)
WP_172390596.1	1	basic secretory protein-like protein
WP_235654732.1	1	UBP-type zinc finger domain-containing protein
WP_138085741.1	1	DUF58 domain-containing protein
WP_138085745.1	1	sulfatase family protein
Unknown	1	IS4-like element ISVsp14 family transposase
WP_394314931.1	1	DUF4956 domain-containing protein
WP_329469937.1	1	DUF3885 domain-containing protein
WP_321297187.1	1	HAD-IIIC family phosphatase
WP_022935505.1	1	alanine--tRNA ligase
WP_022935504.1	1	Holliday junction resolvase RuvX
WP_130197666.1	1	exoribonuclease R
WP_121305931.1	1	IS30-like element ISPa59 family transposase
WP_367657640.1	1	DUF5692 family protein
WP_372001825.1	1	carbon storage regulator
WP_303414789.1	1	VPA1267 family protein
Unknown	1	colicin E3/pyocin S6 family cytotoxin
WP_214529227.1	1	3-hydroxyacyl-CoA dehydrogenase family protein
WP_214529233.1	1	carboxylate--amine ligase/circularly permuted type 2 ATP-grasp protein
WP_387585583.1	1	acetate kinase
Unknown	1	YniB family protein
WP_214198870.1	1	OST-HTH/LOTUS domain-containing protein
WP_378200815.1	1	putative T7SS-secreted protein
WP_223690708.1	1	family 1 glycosylhydrolase
WP_025652990.1	1	(Na+)-NQR maturation NqrM
WP_170978471.1	1	phage integrase N-terminal SAM-like domain-containing protein
WP_117867702.1	1	RloB domain-containing protein
WP_379926473.1	1	DUF6452 family protein
WP_379926474.1	1	DUF6048 family protein
WP_379926476.1	1	carbon-nitrogen hydrolase
WP_242151764.1	1	amidophosphoribosyltransferase
WP_242151773.1	1	bifunctional phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase
WP_432805933.1	1	DUF1266 domain-containing protein
Unknown	1	SpoVG family protein
WP_280030574.1	1	TauD/TfdA dioxygenase family protein
WP_153388226.1	1	NTP/NDP exchange transporter
WP_269130587.1	1	oxaloacetate decarboxylase
WP_079596584.1	1	Tat pathway signal protein
WP_118721268.1	1	GtrA family protein
WP_118721274.1	1	DUF6661 family protein
WP_041146878.1	1	arabinose-5-phosphate isomerase GutQ
WP_367993327.1	1	nitric oxide reductase transcriptional regulator NorR
WP_367993329.1	1	anaerobic nitric oxide reductase flavorubredoxin
WP_367993331.1	1	NADH:flavorubredoxin reductase NorW
WP_004585423.1	1	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
WP_232525088.1	1	tetratricopeptide repeat-containing sensor histidine kinase
WP_154420399.1	1	DUF4372 domain-containing protein
WP_154420408.1	1	glycoside hydrolase family 36 protein
WP_106055125.1	1	type II secretion system protein
WP_278868930.1	1	DUF4367 domain-containing protein
WP_273275041.1	1	mannitol dehydrogenase family protein
WP_235038525.1	1	prolyl aminopeptidase
WP_160096353.1	1	peptidase inhibitor family I36 protein
WP_311431921.1	1	YkyA family protein
WP_293778812.1	1	aminoacyl-tRNA synthetase
Unknown	1	DUF1612 domain-containing protein
Unknown	1	CDP-diacylglycerol diphosphatase
WP_339710946.1	1	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD
WP_368992823.1	1	antitoxin Xre-like helix-turn-helix domain-containing protein
WP_226769825.1	1	general stress protein
WP_264549917.1	1	fibrobacter succinogenes major paralogous domain-containing protein
WP_000460723.1	1	glycoside hydrolase family 108 protein
WP_021493085.1	1	GNAT family N-acyltransferase
WP_159023758.1	1	cobalamin biosynthesis protein CobW
WP_187392950.1	1	ATP-dependent Clp protease proteolytic subunit
WP_346922908.1	1	DNA polymerase III subunit delta'
WP_343751574.1	1	energy-coupling factor transporter transmembrane component T
WP_348448310.1	1	protein adenylyltransferase SelO
WP_004777378.1	1	CBASS oligonucleotide cyclase
WP_095606354.1	1	type IIG restriction enzyme/methyltransferase
WP_160748935.1	1	sigma 54-interacting response regulator
Unknown	1	polarity suppression protein
WP_015509816.1	1	DUF2500 domain-containing protein
WP_140174214.1	1	viroplasmin family protein
WP_100363643.1	1	cytochrome b/b6 domain-containing protein
WP_100363644.1	1	RraA family protein
Unknown	1	type 3 fimbria major subunit MrkA
Unknown	1	type 3 fimbria chaperone MrkB
WP_388890786.1	1	FG-GAP-like repeat-containing protein
WP_388890789.1	1	DUF6531 domain-containing protein
WP_388890805.1	1	metabolite traffic protein EboE
WP_182536950.1	1	phosphomethylpyrimidine synthase ThiC
WP_343055478.1	1	potassium-transporting ATPase subunit KdpC
WP_281847087.1	1	methylmalonyl-CoA mutase subunit beta
WP_236916077.1	1	histidine kinase dimerization/phospho-acceptor domain-containing protein
WP_001114073.1	1	As(III)-sensing metalloregulatory transcriptional repressor ArsR
WP_001556710.1	1	arsenite efflux transporter ATPase subunit ArsA
WP_003026002.1	1	arsenite efflux transporter membrane subunit ArsB
WP_000065759.1	1	glutaredoxin-dependent arsenate reductase
WP_214531313.1	1	M13 family metallopeptidase
Unknown	1	glucose-1-phosphate thymidylyltransferase
WP_346907246.1	1	dipicolinate synthase subunit DpsA
WP_118621412.1	1	ADP-dependent glucokinase/phosphofructokinase
WP_346907258.1	1	ketose-bisphosphate aldolase
WP_235207510.1	1	MerC family mercury resistance protein
WP_327067425.1	1	MerR family DNA-binding protein
WP_024032398.1	1	Cd(II)/Pb(II)-responsive transcriptional regulator
WP_158837513.1	1	zinc-dependent peptidase
WP_042752856.1	1	IS256-like element ISMlu11 family transposase
WP_165630570.1	1	DUF6918 family protein
WP_192912031.1	1	DUF4375 domain-containing protein
WP_219315908.1	1	DUF5675 family protein
WP_288589715.1	1	BlaR1 family beta-lactam sensor/signal transducer
WP_288589716.1	1	DUF6070 family protein
WP_377621062.1	1	DUF5682 family protein
WP_007152177.1	1	DUF1223 domain-containing protein
WP_287771245.1	1	heme anaerobic degradation radical SAM methyltransferase ChuW/HutW
WP_160361471.1	1	PC4/YdbC family ssDNA-binding protein
WP_087199505.1	1	cytidylyltransferase domain-containing protein
WP_087199502.1	1	aldolase catalytic domain-containing protein
WP_087199500.1	1	KdsC family phosphatase
WP_049430610.1	1	FTR1 family protein
WP_257737010.1	1	protein bicaudal D homolog
WP_114558306.1	1	DUF6919 domain-containing protein
WP_324078732.1	1	2-octaprenyl-6-methoxyphenyl hydroxylase
WP_311543941.1	1	cobalamin biosynthesis protein
WP_319827210.1	1	sugar phosphorylase
WP_323789957.1	1	bacteriophage spanin2 family protein
WP_323789961.1	1	phage head spike fiber domain-containing protein
WP_230124984.1	1	HD domain-containing phosphohydrolase
WP_281814760.1	1	inositol 2-dehydrogenase
WP_087519839.1	1	M90 family metallopeptidase
WP_087519841.1	1	M1 family aminopeptidase
WP_087519842.1	1	DUF4252 domain-containing protein
WP_233081228.1	1	TIGR03503 family protein
WP_159967503.1	1	TraC family protein
WP_043201152.1	1	ADP-glyceromanno-heptose 6-epimerase
WP_234093151.1	1	DUF1896 domain-containing protein
WP_275886248.1	1	sorbosone dehydrogenase family protein
WP_425490818.1	1	DUF6188 family protein
Unknown	1	DNA helicase
WP_166415852.1	1	carboxylate-amine ligase
WP_166415853.1	1	PAS domain-containing hybrid sensor histidine kinase/response regulator
WP_166415854.1	1	Hint domain-containing protein
WP_026708100.1	1	DUF47 domain-containing protein
WP_371570718.1	1	anion permease
Unknown	1	ABATE domain-containing protein
WP_013808253.1	1	glyoxalase/bleomycin resistance/extradiol dioxygenase family protein
WP_013808254.1	1	DUF1707 domain-containing protein
Unknown	1	NADAR domain-containing protein
WP_285393876.1	1	DUF6610 family protein
Unknown	1	Rgg family transcriptional regulator
WP_355017829.1	1	DUF1269 domain-containing protein
WP_355017831.1	1	DUF222 domain-containing protein
WP_012857183.1	1	flagellar basal body-associated FliL family protein
WP_012857186.1	1	NlpC/P60 family N-terminal domain-containing protein
WP_028127715.1	1	[citrate (pro-3S)-lyase] ligase
WP_021505854.1	1	two-component response regulator DpiA
WP_021505134.1	1	maltose O-acetyltransferase
WP_058671779.1	1	anaerobic sulfatase maturase
WP_019076521.1	1	zinc ABC transporter substrate-binding protein ZnuA
WP_016152761.1	1	zinc ABC transporter ATP-binding protein ZnuC
WP_016152760.1	1	zinc ABC transporter permease subunit ZnuB
WP_248765857.1	1	DUF6360 family protein
WP_002295743.1	1	IS982-like element ISEfm1 family transposase
WP_003729462.1	1	tetracycline resistance MFS efflux pump
WP_285078499.1	1	DUF1330 domain-containing protein
WP_363773424.1	1	malto-oligosyltrehalose trehalohydrolase
Unknown	1	malto-oligosyltrehalose synthase
WP_363773427.1	1	glycogen debranching protein GlgX
WP_363773433.1	1	citrate synthase
Unknown	1	fatty acid hydroxylase
Unknown	1	Tn3-like element Tn5403 family transposase
Unknown	1	conjugative transfer relaxase/helicase TraI domain-containing protein
WP_000164043.1	1	tetracycline resistance transcriptional repressor TetR(A)
Unknown	1	DinB/UmuC family translesion DNA polymerase
Unknown	1	alpha-amylase
WP_219950001.1	1	SdpI family protein
WP_283698472.1	1	SrtB-anchored collagen-binding adhesin
WP_070087530.1	1	DUF3788 domain-containing protein
WP_203257748.1	1	PAS domain-containing sensor histidine kinase
WP_409020089.1	1	CarD family transcriptional regulator
WP_000449980.1	1	MlaD family protein
WP_000948259.1	1	ABC-type transport auxiliary lipoprotein family protein
Unknown	1	serine dehydratase subunit alpha family protein
WP_117159623.1	1	M14 family zinc carboxypeptidase
WP_289331405.1	1	DUF2290 domain-containing protein
WP_043106443.1	1	BREX-1 system phosphatase PglZ type B
WP_000526135.1	1	IS200/IS605-like element IS200C family transposase
WP_130639910.1	1	ketol-acid reductoisomerase
WP_125733986.1	1	KamA family radical SAM protein
WP_201141809.1	1	DUF6678 family protein
WP_159388659.1	1	DUF3613 domain-containing protein
WP_159388660.1	1	type II and III secretion system protein family protein
WP_200279212.1	1	fla regulon two-component system sensor histidine kinase FlgS
WP_283956641.1	1	transposase DNA-binding-containing protein
WP_009827127.1	1	D-lyxose/D-mannose family sugar isomerase
WP_009827134.1	1	TIGR03571 family LLM class oxidoreductase
WP_241922031.1	1	trans-sulfuration enzyme family protein
WP_241922035.1	1	DUF1203 domain-containing protein
WP_133841689.1	1	YmjA family protein
WP_405087567.1	1	FxLD family lanthipeptide
WP_124100967.1	1	HepT-like ribonuclease domain-containing protein
WP_124100975.1	1	alpha/beta hydrolase-fold protein
WP_172207583.1	1	asparagine--tRNA ligase
WP_168581113.1	1	DUF899 family protein
Unknown	1	SOS mutagenesis and repair protein UmuC
WP_070994892.1	1	His-Xaa-Ser system radical SAM maturase HxsC
WP_339657564.1	1	inorganic phosphate transporter
WP_026708100.1	1	DUF47 family protein
WP_037318981.1	1	tRNA (guanosine(46)-N7)-methyltransferase TrmB
WP_081361521.1	1	AraC-like transcriptional regulator QhpR
WP_056531533.1	1	immunity protein YezG family protein
WP_194245456.1	1	YD repeat-containing protein
WP_420840393.1	1	transposase-like zinc-binding domain-containing protein
WP_288111150.1	1	CHASE domain-containing protein
WP_262509964.1	1	DMP19 family protein
WP_009967548.1	1	type I toxin-antitoxin system toxin BsrG
WP_003246138.1	1	YolA family protein
WP_236273381.1	1	IS4-like element ISAeme15 family transposase
WP_279867943.1	1	OB-fold protein
WP_230342786.1	1	PsiF family protein
WP_230342787.1	1	dienelactone hydrolase family protein
Unknown	1	protein ImpB
WP_374548275.1	1	bifunctional methionine sulfoxide reductase B/A protein
WP_374548277.1	1	DUF2891 domain-containing protein
WP_269722813.1	1	flavodoxin domain-containing protein
WP_414192311.1	1	IS66-like element ISBvu3 family transposase
Unknown	1	IS110-like element IS5075 family transposase
WP_088665111.1	1	complex I subunit 1/NuoH family protein
WP_088665111.1	1	complex I subunit 1 family protein
WP_164087858.1	1	COG4705 family protein
WP_344869243.1	1	glycerol kinase GlpK
WP_158990151.1	1	alpha-N-acetylglucosaminidase
WP_107294586.1	1	DUF4434 domain-containing protein
WP_035789846.1	1	Wadjet anti-phage system protein JetA family protein
WP_179564618.1	1	transcription initiation protein
WP_179564624.1	1	HpcH/HpaI aldolase family protein
WP_179564628.1	1	3%2C4-dihydroxyphenylacetate 2%2C3-dioxygenase
WP_179564630.1	1	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase
WP_117441967.1	1	Wzz/FepE/Etk N-terminal domain-containing protein
WP_336046023.1	1	nuclease domain-containing protein
WP_336046041.1	1	YkvA family protein
WP_367405010.1	1	arginine--tRNA ligase
WP_051417322.1	1	DUF2779 domain-containing protein
WP_080071163.1	1	SdiA-regulated domain-containing protein
WP_265077294.1	1	DNA-3-methyladenine glycosylase
WP_076192929.1	1	thioesterase domain-containing protein
WP_341088676.1	1	histidine kinase N-terminal 7TM domain-containing protein
WP_076125375.1	1	family 43 glycosylhydrolase
WP_182055906.1	1	DUF3862 domain-containing protein
WP_102036573.1	1	H-NS histone family protein
WP_102036182.1	1	DUF4382 domain-containing protein
WP_231388463.1	1	DUF7010 family protein
WP_119669674.1	1	amidoligase family protein
WP_085247103.1	1	type VI secretion system protein TssA
WP_085247105.1	1	type VI secretion system baseplate subunit TssG
WP_085247107.1	1	type VI secretion system baseplate subunit TssE
Unknown	1	dihydropteroate synthase
WP_013199815.1	1	YncE family protein
WP_024444914.1	1	TA system antitoxin ParD family protein
WP_116003981.1	1	ATP-dependent 6-phosphofructokinase
WP_116006042.1	1	spore maturation protein
WP_071974125.1	1	DUF6878 family protein
WP_065877393.1	1	UDP-N-acetylmuramate dehydrogenase
WP_123906574.1	1	DUF6705 family protein
WP_329803772.1	1	PssD/Cps14F family polysaccharide biosynthesis glycosyltransferase
WP_044315912.1	1	DUF7079 family protein
WP_010791890.1	1	DUF7364 domain-containing protein
WP_033961515.1	1	DUF2793 domain-containing protein
WP_016852910.1	1	ribbon-helix-helix protein%2C CopG family
WP_306270599.1	1	DUF6745 domain-containing protein
WP_306270600.1	1	Hsp70 family protein
WP_306270605.1	1	DUF4262 domain-containing protein
WP_294212873.1	1	GNAT family acetyltransferase
WP_407730987.1	1	VRR-NUC domain-containing protein
WP_407728641.1	1	siderophore ABC transporter substrate-binding protein
WP_045630546.1	1	YciC family protein
WP_264583794.1	1	DUF2244 domain-containing protein
WP_233435773.1	1	NAD-dependent protein deacetylase%2C SIR2 family
WP_185705810.1	1	fe2+ zn2+ uptake regulation protein
WP_181987046.1	1	DUF2461 domain-containing protein
WP_278340362.1	1	1-deoxy-D-xylulose-5-phosphate synthase
WP_282731626.1	1	DUF4251 domain-containing protein
WP_282731627.1	1	3-hydroxyacyl-CoA dehydrogenase/enoyl-CoA hydratase family protein
WP_159119317.1	1	PACE efflux transporter
WP_173360582.1	1	molybdopterin oxidoreductase family protein
WP_109468518.1	1	O-succinylhomoserine sulfhydrylase
WP_109468526.1	1	N-acetylmuramidase family protein
WP_150900358.1	1	DUF2809 domain-containing protein
WP_150900545.1	1	DUF3820 family protein
WP_152950375.1	1	HORMA domain containing protein
WP_046653321.1	1	metal-sensing transcriptional repressor
WP_200215948.1	1	MerC domain-containing protein
WP_217899521.1	1	3-oxoacyl-ACP reductase family protein
WP_400574855.1	1	Imm10 family immunity protein
WP_338712459.1	1	PTS N-acetylglucosamine transporter subunit IIBC
WP_157887441.1	1	HAD domain-containing protein
WP_058549627.1	1	DUF1833 family protein
